,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
572,0.46,2.62,-1.83,1.76,-0.03,0.01,2011,3
573,2.9,-0.55,-2.43,1.01,-0.8,0.0,2011,4
574,-1.27,-0.63,-2.12,2.08,-1.59,0.0,2011,5
575,-1.75,0.16,-0.42,2.49,-1.53,0.0,2011,6
576,-2.35,-1.2,-0.9,2.68,-1.81,0.0,2011,7
577,-5.99,-3.2,-2.36,3.3,-0.38,0.01,2011,8
578,-7.59,-3.66,-1.72,2.04,0.24,0.0,2011,9
579,11.35,3.46,0.1,-2.16,-0.86,0.0,2011,10
580,-0.28,-0.28,-0.46,1.86,1.49,0.0,2011,11
581,0.74,-0.33,1.63,0.98,2.52,0.0,2011,12
582,5.05,2.06,-0.97,-2.01,-1.43,0.0,2012,1
583,4.42,-1.71,0.43,-0.48,-0.01,0.0,2012,2
584,3.11,-0.47,1.14,-0.54,0.74,0.0,2012,3
585,-0.85,-0.55,-0.78,1.3,0.65,0.0,2012,4
586,-6.19,-0.12,-1.07,2.08,2.31,0.01,2012,5
587,3.89,0.84,0.62,-1.09,0.46,0.0,2012,6
588,0.79,-2.78,-0.02,1.1,0.05,0.0,2012,7
589,2.55,0.44,1.3,-1.33,-0.84,0.01,2012,8
590,2.73,0.61,1.6,-1.49,1.55,0.01,2012,9
591,-1.76,-0.89,3.59,-1.34,2.5,0.01,2012,10
592,0.78,0.46,-0.84,0.6,0.84,0.01,2012,11
593,1.18,1.89,3.51,-1.85,0.91,0.01,2012,12
594,5.57,0.48,0.96,-1.93,1.41,0.0,2013,1
595,1.29,-0.25,0.11,-0.67,0.52,0.0,2013,2
596,4.03,0.85,-0.19,0.14,1.38,0.0,2013,3
597,1.55,-2.25,0.45,0.27,0.37,0.0,2013,4
598,2.8,2.06,2.63,-1.97,-0.87,0.0,2013,5
599,-1.2,1.57,0.03,-0.38,0.0,0.0,2013,6
600,5.65,1.81,0.57,-1.35,0.51,0.0,2013,7
601,-2.71,-0.06,-2.69,0.66,-2.16,0.0,2013,8
602,3.77,2.63,-1.22,-0.58,-1.36,0.0,2013,9
603,4.18,-1.48,1.25,2.78,0.87,0.0,2013,10
604,3.13,1.41,0.32,0.14,0.04,0.0,2013,11
605,2.81,-0.45,-0.02,-0.46,0.09,0.0,2013,12
606,-3.32,0.58,-2.07,-3.88,-1.42,0.0,2014,1
607,4.65,0.14,-0.31,-0.23,-0.45,0.0,2014,2
608,0.43,-1.09,4.93,2.13,1.92,0.0,2014,3
609,-0.19,-4.12,1.17,3.48,1.02,0.0,2014,4
610,2.06,-1.89,-0.13,0.05,-1.0,0.0,2014,5
611,2.61,3.11,-0.7,-1.89,-2.0,0.0,2014,6
612,-2.04,-4.29,0.03,0.89,0.52,0.0,2014,7
613,4.24,0.31,-0.45,-0.64,-0.7,0.0,2014,8
614,-1.97,-3.72,-1.34,1.3,-0.51,0.0,2014,9
615,2.52,3.73,-1.81,-0.57,-0.11,0.0,2014,10
616,2.55,-2.28,-3.09,1.5,0.27,0.0,2014,11
617,-0.06,2.86,2.27,-1.22,0.96,0.0,2014,12
