,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Year,Month
2197,9.33,16.88,15.82,23.08,11.88,11.9,12.53,9.88,7.0,10.61,2011,10
2198,-3.94,-6.09,-0.07,0.19,-3.92,-1.18,-0.74,-2.92,1.25,-0.95,2011,11
2199,1.0,-0.04,-1.53,-1.87,-0.94,0.23,0.73,-0.87,2.26,1.24,2011,12
2200,8.2,11.14,11.98,4.62,10.61,6.75,6.13,11.59,-2.05,8.57,2012,1
2201,5.23,5.12,3.27,6.07,3.75,4.92,5.04,4.06,1.24,3.71,2012,2
2202,3.06,4.45,0.85,-3.69,2.48,3.58,4.06,4.22,0.33,4.9,2012,3
2203,-0.4,-3.86,-1.13,-3.61,-2.74,-4.41,0.33,-1.57,1.44,-0.66,2012,4
2204,-3.3,-8.82,-10.63,-16.35,-8.36,-8.0,-5.62,-5.62,-1.6,-5.18,2012,5
2205,3.65,-1.62,2.68,3.51,3.53,5.8,2.27,7.32,4.16,3.8,2012,6
2206,-0.56,-2.35,-0.8,-2.5,-2.62,1.51,-0.64,0.93,3.09,-1.49,2012,7
2207,4.88,2.47,2.98,2.06,3.6,1.66,2.32,2.24,-1.6,2.53,2012,8
2208,1.83,7.35,2.83,6.29,2.25,6.8,2.84,6.35,2.76,3.98,2012,9
2209,0.07,-2.01,-0.32,-4.98,-5.31,-0.29,-1.59,-5.19,0.42,0.35,2012,10
2210,3.01,0.56,2.28,-3.32,0.25,-3.36,2.03,0.63,-2.56,-0.13,2012,11
2211,0.95,5.58,3.87,1.58,3.16,1.99,1.35,-0.71,0.63,3.55,2012,12
2212,6.18,9.21,7.48,6.62,6.45,8.53,6.14,9.1,5.11,7.69,2013,1
2213,1.12,1.06,0.95,-1.73,1.4,-1.49,0.9,-0.34,2.2,2.01,2013,2
2214,5.65,6.37,3.46,1.48,3.73,7.1,5.11,5.15,5.25,4.38,2013,3
2215,2.02,0.6,-1.11,-4.46,-0.83,5.98,1.66,1.02,4.36,-0.95,2013,4
2216,4.57,6.26,5.47,5.45,5.69,4.91,5.86,4.44,-4.75,4.8,2013,5
2217,1.85,-0.37,-1.43,-3.8,0.63,4.1,0.06,-1.27,0.14,0.19,2013,6
2218,5.35,6.79,7.07,7.11,7.84,9.02,6.22,10.74,5.92,6.96,2013,7
2219,-2.18,-1.7,-0.82,-1.51,-1.11,-3.19,-3.9,-1.91,-5.53,-2.54,2013,8
2220,4.03,8.37,6.67,4.67,6.13,7.23,5.38,9.15,2.56,4.39,2013,9
2221,3.72,3.56,4.33,5.8,2.23,3.03,2.64,-1.88,3.53,3.06,2013,10
2222,3.37,2.85,4.22,-2.1,4.49,3.86,3.71,8.27,-0.47,4.24,2013,11
2223,2.21,2.77,4.06,1.63,3.69,5.39,1.16,4.09,1.66,2.03,2013,12
2224,-3.57,-1.43,-1.8,-2.14,1.78,-0.31,-6.02,9.09,1.29,-1.46,2014,1
2225,5.67,4.99,5.53,5.98,4.62,3.28,4.5,5.98,3.47,3.57,2014,2
2226,3.27,0.95,1.37,1.89,-1.32,-0.5,0.24,-3.98,2.49,1.08,2014,3
2227,-2.76,-4.56,-2.82,4.82,-6.58,-4.74,-2.87,-7.85,1.94,-2.63,2014,4
2228,1.32,1.26,-0.46,-1.43,-0.07,2.48,-0.75,0.94,0.7,0.17,2014,5
2229,2.15,2.71,3.78,8.0,5.85,1.61,2.37,7.26,5.16,3.52,2014,6
2230,-4.23,-3.79,-4.98,-7.5,-5.2,-2.91,-4.94,-6.96,-6.44,-3.4,2014,7
2231,5.16,10.73,4.86,2.03,3.92,-0.61,4.74,4.7,5.63,3.37,2014,8
2232,-2.87,-7.23,-6.74,-12.84,-4.3,-5.32,-4.01,-4.97,-4.75,-3.42,2014,9
2233,3.6,6.1,2.56,-14.15,1.56,3.78,3.31,5.17,9.0,4.1,2014,10
2234,3.0,-0.82,-1.39,-18.24,1.58,0.73,2.51,0.58,-0.64,0.41,2014,11
2235,1.19,0.64,0.38,-10.0,2.29,-1.25,1.88,5.3,3.09,2.92,2014,12
2236,-1.76,-4.74,-5.76,-9.0,-3.1,-3.75,-2.61,2.62,0.76,-5.15,2015,1
2237,4.22,7.09,7.99,12.85,7.41,6.28,4.46,9.3,-2.69,5.09,2015,2
2238,1.67,-0.56,-0.42,-8.61,-1.45,0.79,1.75,1.08,-0.27,1.21,2015,3
